Date,Close,Volume,ema
2022-10-10,111.7,524,110.415
2022-10-11,112.4,247,110.455
2022-10-12,113.45,3799,111.10999999999999
2022-10-13,112.15,2937,111.755
2022-10-14,112.35,534,112.44000000000001
2022-10-17,110.85,1642,112.52000000000001
2022-10-18,110.85,679,112.47
2022-10-19,110.0,2056,112.205
2022-10-20,107.55,406,111.525
2022-10-21,110.2,3539,111.15
2022-10-24,107.25,546,110.705
2022-10-25,106.75,1555,110.14000000000001
2022-10-27,105.25,495,109.32000000000001
2022-10-28,107.6,6545,108.86500000000001
2022-10-31,109.4,1776,108.57000000000001
2022-11-01,107.45,1604,108.22999999999999
2022-11-02,105.7,2661,107.715
2022-11-03,105.95,473,107.31000000000002
2022-11-04,104.15,8895,106.97
2022-11-07,98.65,8062,105.81499999999998
2022-11-09,97.7,4838,104.85999999999999
2022-11-10,97.6,756,103.94500000000001
2022-11-11,95.6,1645,102.97999999999999
2022-11-14,92.25,1408,101.44500000000001
2022-11-15,95.85,617,100.09
2022-11-16,96.6,208,99.005
2022-11-17,95.65,1021,98.0
2022-11-18,95.8,398,96.985
2022-11-21,93.1,1031,95.88
2022-11-22,90.95,964,95.10999999999999
2022-11-23,91.95,538,94.535
2022-11-24,91.5,1082,93.925
2022-11-25,92.4,4189,93.60499999999999
2022-11-28,92.3,768,93.61
2022-11-29,92.0,1271,93.225
2022-11-30,92.1,312,92.775
2022-12-01,91.95,404,92.405
2022-12-02,92.95,411,92.12
2022-12-05,92.6,1943,92.07000000000001
2022-12-06,93.0,602,92.275
2022-12-07,111.5,96399,94.22999999999999
2022-12-08,103.75,32794,95.455
2022-12-09,98.65,9407,96.08000000000001
2022-12-12,96.35,3035,96.48499999999999
2022-12-13,98.05,2602,97.09
2022-12-14,97.0,1009,97.58
2022-12-15,96.25,794,98.01
2022-12-16,94.8,3933,98.195
2022-12-19,93.45,1553,98.28
2022-12-20,95.7,334,98.55
2022-12-21,93.05,2486,96.705
2022-12-22,93.5,1014,95.67999999999999
2022-12-23,85.3,4890,94.345
2022-12-26,88.55,2477,93.565
2022-12-27,92.0,769,92.96000000000001
2022-12-28,91.55,1426,92.41499999999999
2022-12-29,91.0,56,91.89
2022-12-30,93.0,497,91.71000000000001
2023-01-02,96.85,915,92.05
2023-01-03,102.1,12637,92.68999999999998
2023-01-04,100.65,1924,93.45
2023-01-05,99.7,8118,94.07
2023-01-06,100.4,587,95.58000000000001
2023-01-09,100.9,1531,96.815
2023-01-10,101.9,8543,97.80499999999999
2023-01-11,101.5,1609,98.8
2023-01-12,113.3,85356,101.03
2023-01-13,106.25,5841,102.35499999999999
2023-01-16,107.55,14191,103.425
2023-01-17,109.0,1358,104.11500000000001
2023-01-18,107.6,2818,104.80999999999999
2023-01-19,104.5,4764,105.29
2023-01-20,101.25,1582,105.375
2023-01-23,98.95,3936,105.17999999999999
2023-01-24,98.6,1934,104.85
2023-01-25,95.65,4079,104.26500000000001
2023-01-27,99.75,24562,102.91000000000001
2023-01-30,97.3,3970,102.01500000000001
2023-01-31,101.25,5285,101.385
2023-02-01,98.25,3427,100.31
2023-02-02,95.75,9091,99.125
2023-02-03,94.15,2557,98.09
2023-02-06,95.3,960,97.49499999999999
2023-02-07,97.0,2000,97.3
2023-02-08,95.85,900,97.025
2023-02-09,94.85,1183,96.94500000000001
2023-02-10,94.95,710,96.465
2023-02-13,85.15,14420,95.25
2023-02-14,84.8,11859,93.60499999999999
2023-02-15,88.3,1805,92.60999999999999
2023-02-16,86.1,1719,91.645
2023-02-17,88.3,4040,91.05999999999999
2023-02-20,89.1,242,90.44
2023-02-21,87.45,993,89.485
2023-02-22,84.3,4304,88.33
2023-02-23,83.7,27911,87.215
2023-02-24,82.15,1829,85.935
2023-02-27,83.15,1532,85.73499999999999
2023-02-28,83.55,13287,85.61
2023-03-01,85.82,1011,85.362
2023-03-02,84.0,1392,85.152
2023-03-03,85.05,2213,84.82700000000001
2023-03-06,86.15,902,84.53200000000001
2023-03-08,85.49,1212,84.336
2023-03-09,84.84,24891,84.39000000000001
2023-03-10,84.15,244,84.435
2023-03-13,83.0,408,84.52000000000001
2023-03-14,82.6,1178,84.465
2023-03-15,81.96,414,84.306
2023-03-16,80.75,1146,83.799
2023-03-17,80.24,221,83.423
2023-03-20,81.05,621,83.023
2023-03-21,80.08,608,82.416
2023-03-22,80.1,677,81.877
2023-03-23,79.47,709,81.34
2023-03-24,78.44,300,80.76899999999999
2023-03-27,78.0,594,80.26899999999999
2023-03-28,75.41,2595,79.54999999999998
2023-03-29,73.39,7131,78.693
2023-03-31,82.11,4230,78.829
2023-04-03,80.67,1145,78.872
2023-04-05,86.98,28388,79.465
2023-04-06,85.0,1466,79.957
2023-04-10,84.21,84,80.368
2023-04-11,83.44,235,80.76500000000001
2023-04-12,82.46,543,81.167
2023-04-13,86.0,1232,81.967
2023-04-17,85.9,337,83.016
2023-04-18,85.47,1229,84.224
2023-04-19,84.0,642,84.413
2023-04-20,89.67,10837,85.313
2023-04-21,89.3,479,85.545
2023-04-24,93.92,1528,86.437
